Event,Date,Pack Type,trsh/door/brd/WO,Top Rating
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
7,10/31,Premium Gold Players Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
7,10/31,Prime Electrum Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
8,10/31,Rare Electrum Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
8,10/31,Prime Gold Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
8,10/31,Prime Gold Players Pack,Board,85
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
9,10/31,Prime Gold Players Pack,WO,90
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
9,10/31,Prime Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
9,10/31,Prime Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
9,10/31,Prime Gold Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
9,10/31,Prime Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
9,10/31,Prime Gold Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
10,10/31,Prime Mixed Players Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
10,10/31,Small Rare Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
10,10/31,Two Players Pack,Door,77
,,,Door,
,,,Door,
10,10/31,Small Electrum Players Pack,Door,75
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
11,11/1,Premium Electrum Players Pack,Door,76
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
11,11/1,Premium Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
11,11/1,Rare Electrum Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
11,11/1,Rare Mixed Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
11,11/1,Small Prime Mixed Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
11,11/1,Small Rare Mixed Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
12,11/2,Jumbo Premium Gold Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
12,11/2,Jumbo Premium Gold Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
12,11/2,Jumbo Premium Gold Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
12,11/2,Jumbo Premium Gold Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
12,11/2,Jumbo Premium Gold Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
12,11/2,Mega Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
13,11/3,Two player pack,Door,78
,,,Door,
,,,Door,
13,11/3,Jumbo Premium Gold Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
13,11/3,Jumbo Premium Gold Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
13,11/3,Rare Gold Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
13,11/3,Rare Gold Pack,Board,85
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Small Gold Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Small Prime Gold Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Electrum Players Pack,Door,76
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
